person_id,name,total_calls,unique_contacts,money_sent,money_received,total_transactions,money_difference,anomaly,anomaly_score,priority,degree_centrality,betweenness_centrality
P001,Rahul Kumar,12.0,8.0,12000.0,37500.0,4.0,25500.0,-1,-0.053610113749253174,High,0.1794871794871795,0.14605827146312975
P002,Amit Sharma,10.0,2.0,40000.0,62000.0,7.0,22000.0,1,-0.034578431603428994,High,0.1282051282051282,0.03003170918150675
P003,Neha Verma,6.0,2.0,15000.0,17000.0,6.0,2000.0,1,0.06297906255983365,Low,0.10256410256410256,0.05748783380362328
P004,Arjun Singh,6.0,5.0,33000.0,7000.0,3.0,-26000.0,1,0.03518368119499926,Medium,0.1282051282051282,0.03571837519205941
P005,Priya Mehta,11.0,6.0,14000.0,50000.0,4.0,36000.0,-1,0.0038420479559365672,Medium,0.23076923076923075,0.12285723722970684
P006,Karan Gupta,4.0,3.0,43000.0,7000.0,4.0,-36000.0,1,0.0608520475098574,Low,0.07692307692307693,0.04773861615966878
P007,Riya Jain,3.0,0.0,2500.0,43000.0,4.0,40500.0,1,0.03360060897533257,Medium,0.05128205128205128,0.014351778825463034
P008,Mohit Kapoor,4.0,4.0,52000.0,25000.0,4.0,-27000.0,1,0.05529409138002184,Low,0.10256410256410256,0.01920827710301394
P009,Sneha Rao,4.0,1.0,2500.0,46500.0,4.0,44000.0,1,0.08925758929736649,Low,0.05128205128205128,0.0037112010796221313
P010,Vikash Malhotra,5.0,2.0,114000.0,25000.0,7.0,-89000.0,-1,-0.06536996834781539,High,0.10256410256410256,0.02134502923976608
P011,Rohit Kumar,7.0,4.0,2500.0,0.0,1.0,-2500.0,1,0.08933349481102537,Low,0.07692307692307693,0.0023530225959375755
P012,Pooja Sharma,4.0,3.0,28000.0,5000.0,3.0,-23000.0,1,0.08581601259101679,Low,0.02564102564102564,0.0
P013,Nitin Verma,5.0,4.0,0.0,17000.0,2.0,17000.0,1,0.09091506883001171,Low,0.1282051282051282,0.050882383473476595
P014,Anjali Singh,5.0,2.0,2500.0,52500.0,4.0,50000.0,1,0.07188839172329942,Low,0.07692307692307693,0.04752489226173436
P015,Saurabh Mehta,7.0,3.0,8500.0,10000.0,3.0,1500.0,1,0.09159070774452804,Low,0.15384615384615385,0.1174030647714858
P016,Kavita Gupta,7.0,1.0,124500.0,60500.0,8.0,-64000.0,-1,-0.09651675489099953,High,0.15384615384615385,0.04480201160363104
P017,Manish Jain,10.0,3.0,0.0,50000.0,2.0,50000.0,1,0.005129484317645372,Medium,0.23076923076923075,0.09947074967317882
P018,Simran Kapoor,4.0,1.0,10000.0,0.0,1.0,-10000.0,1,0.06690105994591167,Low,0.10256410256410256,0.08820292767661189
P019,Deepak Rao,3.0,1.0,30000.0,10000.0,4.0,-20000.0,1,0.062838426613405,Low,0.07692307692307693,0.024152893889735988
P020,Shreya Malhotra,5.0,3.0,33500.0,42500.0,5.0,9000.0,1,0.059789852224237605,Low,0.1282051282051282,0.12093512275698509
P021,Varun Kumar,7.0,3.0,0.0,0.0,0.0,0.0,1,0.20503100489611148,Low,0.10256410256410256,0.016308837361468938
P022,Komal Sharma,6.0,2.0,0.0,0.0,0.0,0.0,1,0.18296030270715363,Low,0.15384615384615385,0.05551108810218122
P023,Akash Verma,3.0,1.0,0.0,0.0,0.0,0.0,1,0.11713272195468366,Low,0.05128205128205128,0.005771826014740994
P024,Meena Singh,3.0,1.0,0.0,0.0,0.0,0.0,1,0.11713272195468366,Low,0.05128205128205128,0.014351778825463034
P025,Tarun Mehta,4.0,3.0,0.0,0.0,0.0,0.0,1,0.20474563181172867,Low,0.05128205128205128,0.005815821605295289
P026,Isha Gupta,7.0,5.0,0.0,0.0,0.0,0.0,1,0.11369784192820948,Low,0.10256410256410256,0.007523616734143049
P027,Yash Jain,10.0,3.0,0.0,0.0,0.0,0.0,1,0.13801294683957854,Low,0.1794871794871795,0.11778778276753987
P028,Nisha Kapoor,5.0,2.0,0.0,0.0,0.0,0.0,1,0.18601041688808773,Low,0.05128205128205128,0.02133637842139866
P029,Rakesh Rao,4.0,3.0,0.0,0.0,0.0,0.0,1,0.20474563181172867,Low,0.07692307692307693,0.007555310186889134
P030,Tanya Malhotra,7.0,4.0,0.0,0.0,0.0,0.0,1,0.18268396032803136,Low,0.10256410256410256,0.037092731829573934
P031,Aditya Kumar,5.0,4.0,0.0,0.0,0.0,0.0,1,0.18404193080590148,Low,0.1282051282051282,0.09087063034431454
P032,Megha Sharma,6.0,3.0,0.0,0.0,0.0,0.0,1,0.22648898869486372,Low,0.10256410256410256,0.011880045280854996
P033,Vivek Verma,10.0,3.0,0.0,0.0,0.0,0.0,1,0.13801294683957854,Low,0.1794871794871795,0.13743394107766577
P034,Aarti Singh,4.0,3.0,0.0,0.0,0.0,0.0,1,0.20474563181172867,Low,0.07692307692307693,0.014656216478078828
P035,Harsh Mehta,9.0,4.0,0.0,0.0,0.0,0.0,1,0.1380227968968491,Low,0.1282051282051282,0.04351676214024392
P036,Divya Gupta,5.0,3.0,0.0,0.0,0.0,0.0,1,0.21889491329830452,Low,0.10256410256410256,0.04029519738021761
P037,Gaurav Jain,6.0,3.0,0.0,0.0,0.0,0.0,1,0.22648898869486372,Low,0.07692307692307693,0.015722045985203877
P038,Sonia Kapoor,6.0,3.0,0.0,0.0,0.0,0.0,1,0.22648898869486372,Low,0.1282051282051282,0.040878127720233
P039,Raj Rao,6.0,3.0,0.0,0.0,0.0,0.0,1,0.22648898869486372,Low,0.15384615384615385,0.05424141760174151
P040,Muskan Malhotra,4.0,1.0,0.0,0.0,0.0,0.0,1,0.1419946163880067,Low,0.05128205128205128,0.020116530642846433
