report_id,entity,type,matched_id
FIR001,9876500001,PHONE,PH001
FIR003,9876500003,PHONE,PH003
FIR004,9876500049,PHONE,PH049
FIR002,ACC10002,ACCOUNT,A002
FIR005,ACC10002,ACCOUNT,A002
FIR003,UP14CD1003,VEHICLE,Not Found
FIR007,DL01CD1002,VEHICLE,Not Found
FIR001,Rahul Kumar,PERSON,P001
FIR003,Neha Verma,PERSON,P003
FIR004,Rahul Kumar,PERSON,P001
FIR006,Arjun Singh,PERSON,P004
FIR006,Priya Mehta,PERSON,P005
FIR001,Sector 18,LOCATION,L001
FIR003,Sector 62,LOCATION,L002
FIR006,Anand Vihar,LOCATION,L004
FIR008,Sector 18,LOCATION,L001
FIR008,Sector 62,LOCATION,L002
