call_id,caller_phone,receiver_phone,date_time,duration,tower_location
C001,PH001,PH002,2026-08-01 08:15,472,Noida City Centre
C002,PH001,PH003,2026-08-01 09:15,309,Noida City Centre
C003,PH001,PH049,2026-08-01 10:15,294,Sector 62
C004,PH049,PH002,2026-08-01 11:15,202,Sector 18
C005,PH003,PH002,2026-08-01 12:15,350,Sector 62
C006,PH004,PH005,2026-08-01 13:15,136,Sector 18
C007,PH001,PH002,2026-08-01 14:15,146,Sector 18
C008,PH001,PH003,2026-08-01 15:15,411,Sector 18
C009,PH001,PH049,2026-08-01 16:15,438,Sector 62
C010,PH049,PH002,2026-08-01 17:15,395,Sector 18
C011,PH003,PH002,2026-08-01 18:15,287,Sector 62
C012,PH004,PH005,2026-08-01 19:15,395,Sector 62
C013,PH034,PH017,2026-08-13 22:08,31,Sector 62
C014,PH044,PH035,2026-08-18 10:04,293,Dwarka
C015,PH008,PH019,2026-08-11 05:26,181,Kaushambi
C016,PH001,PH047,2026-08-21 06:19,289,Saket
C017,PH049,PH012,2026-08-12 21:15,128,Vaishali
C018,PH041,PH033,2026-08-15 04:34,223,Connaught Place
C019,PH024,PH049,2026-08-05 00:13,572,Saket
C020,PH001,PH039,2026-08-08 17:01,520,Sector 18
C021,PH008,PH024,2026-08-21 07:53,334,Anand Vihar
C022,PH004,PH016,2026-08-21 07:30,600,Sector 62
C023,PH006,PH047,2026-08-12 09:24,90,Saket
C024,PH050,PH009,2026-08-04 06:07,506,Saket
C025,PH011,PH017,2026-08-13 08:10,453,Anand Vihar
C026,PH035,PH049,2026-08-17 22:38,225,Vaishali
C027,PH026,PH043,2026-08-16 02:55,402,Kaushambi
C028,PH034,PH029,2026-08-04 02:05,273,Anand Vihar
C029,PH005,PH022,2026-08-01 19:29,587,Anand Vihar
C030,PH038,PH015,2026-08-01 11:55,92,Sector 18
C031,PH015,PH005,2026-08-02 01:09,358,Sector 62
C032,PH033,PH016,2026-08-07 16:05,517,Anand Vihar
C033,PH035,PH009,2026-08-17 19:02,504,Anand Vihar
C034,PH031,PH027,2026-08-05 15:59,116,Sector 62
C035,PH043,PH028,2026-08-09 09:29,453,Botanical Garden
C036,PH030,PH047,2026-08-02 13:35,120,Sector 18
C037,PH026,PH047,2026-08-09 01:18,131,Anand Vihar
C038,PH013,PH035,2026-08-11 13:00,163,Botanical Garden
C039,PH012,PH018,2026-08-11 20:39,275,Sector 62
C040,PH029,PH036,2026-08-03 13:28,71,Saket
C041,PH001,PH006,2026-08-18 11:32,262,Connaught Place
C042,PH027,PH032,2026-08-12 06:53,238,Botanical Garden
C043,PH004,PH011,2026-08-09 22:58,22,Botanical Garden
C044,PH017,PH030,2026-08-07 19:47,453,Saket
C045,PH043,PH046,2026-08-12 09:47,178,Anand Vihar
C046,PH019,PH014,2026-08-02 15:56,575,Sector 18
C047,PH048,PH021,2026-08-02 15:13,71,Noida City Centre
C048,PH031,PH033,2026-08-20 17:41,563,Connaught Place
C049,PH004,PH033,2026-08-03 03:45,210,Sector 62
C050,PH039,PH005,2026-08-16 16:45,260,Botanical Garden
C051,PH008,PH037,2026-08-06 22:27,60,Noida City Centre
C052,PH006,PH027,2026-08-16 07:00,598,Saket
C053,PH021,PH017,2026-08-05 23:33,341,Anand Vihar
C054,PH017,PH026,2026-08-04 07:28,327,Kaushambi
C055,PH021,PH049,2026-08-02 23:37,29,Kaushambi
C056,PH040,PH037,2026-08-03 14:36,95,Saket
C057,PH014,PH033,2026-08-07 08:50,155,Dwarka
C058,PH005,PH016,2026-08-09 17:48,311,Connaught Place
C059,PH029,PH035,2026-08-17 08:13,329,Noida City Centre
C060,PH042,PH034,2026-08-01 12:16,587,Vaishali
C061,PH043,PH007,2026-08-21 07:34,157,Vaishali
C062,PH008,PH007,2026-08-18 05:27,586,Connaught Place
C063,PH018,PH019,2026-08-15 02:19,235,Dwarka
C064,PH014,PH044,2026-08-15 18:22,290,Saket
C065,PH032,PH017,2026-08-20 14:05,72,Sector 62
C066,PH041,PH028,2026-08-20 04:56,303,Sector 18
C067,PH001,PH022,2026-08-18 21:08,153,Vaishali
C068,PH011,PH048,2026-08-11 09:18,584,Botanical Garden
C069,PH036,PH001,2026-08-03 21:05,97,Connaught Place
C070,PH035,PH003,2026-08-20 07:48,398,Noida City Centre
C071,PH036,PH010,2026-08-11 02:43,150,Sector 18
C072,PH020,PH024,2026-08-19 10:47,60,Dwarka
C073,PH014,PH044,2026-08-07 00:16,125,Dwarka
C074,PH050,PH036,2026-08-21 05:42,436,Noida City Centre
C075,PH048,PH010,2026-08-06 17:17,186,Connaught Place
C076,PH027,PH002,2026-08-05 09:57,360,Botanical Garden
C077,PH043,PH048,2026-08-19 18:46,274,Vaishali
C078,PH011,PH045,2026-08-03 19:02,411,Sector 18
C079,PH031,PH015,2026-08-05 20:59,491,Dwarka
C080,PH020,PH015,2026-08-06 09:44,44,Anand Vihar
C081,PH026,PH022,2026-08-07 16:09,91,Vaishali
C082,PH023,PH042,2026-08-12 22:12,429,Saket
C083,PH022,PH002,2026-08-03 22:59,287,Connaught Place
C084,PH038,PH017,2026-08-02 04:53,131,Noida City Centre
C085,PH028,PH023,2026-08-17 21:52,341,Botanical Garden
C086,PH039,PH033,2026-08-03 23:09,414,Noida City Centre
C087,PH013,PH017,2026-08-02 08:14,466,Sector 18
C088,PH034,PH035,2026-08-16 23:06,221,Dwarka
C089,PH028,PH005,2026-08-16 10:45,358,Noida City Centre
C090,PH021,PH043,2026-08-20 15:07,147,Vaishali
C091,PH033,PH020,2026-08-16 12:12,438,Dwarka
C092,PH026,PH045,2026-08-08 01:28,587,Connaught Place
