call_id,caller_phone,receiver_phone,date_time,duration,tower_location
CALL001,9876500001,9876500002,2026-09-21 10:15:00,145,"Sector 18, Noida"
CALL002,9876500001,9876500003,2026-09-21 10:32:00,82,"Sector 18, Noida"
CALL003,9876500002,9876500003,2026-09-21 11:05:00,210,"Sector 17, Noida"
CALL004,9876500003,9876500004,2026-09-21 11:28:00,67,"Sector 18, Noida"
CALL005,9876500001,9876500004,2026-09-21 12:10:00,320,"Sector 18, Noida"
CALL006,9876500004,9876500005,2026-09-21 12:45:00,95,"Sector 16, Noida"
CALL007,9876500002,9876500005,2026-09-21 13:20:00,180,"Sector 16, Noida"
CALL008,9876500001,9876500002,2026-09-21 14:05:00,230,"Sector 18, Noida"
CALL009,9876500003,9876500001,2026-09-21 14:42:00,125,"Sector 18, Noida"
CALL010,9876500005,9876500004,2026-09-21 15:15:00,76,"Sector 17, Noida"
CALL011,9876500001,9876500003,2026-09-21 16:00:00,410,"Sector 18, Noida"
CALL012,9876500004,9876500002,2026-09-21 16:35:00,155,"Sector 16, Noida"
