account_id,account_number,owner_person_id,bank
A001,ACC10001,P001,BankA
A002,ACC10002,P002,BankB
A003,ACC10003,P003,BankB
A004,ACC10004,P004,BankA
A005,ACC10005,P005,BankC
A006,ACC10006,P006,BankB
A007,ACC10007,P007,BankC
A008,ACC10008,P008,BankC
A009,ACC10009,P009,BankC
A010,ACC10010,P010,BankA
A011,ACC10011,P011,BankC
A012,ACC10012,P012,BankC
A013,ACC10013,P013,BankA
A014,ACC10014,P014,BankC
A015,ACC10015,P015,BankC
A016,ACC10016,P016,BankA
A017,ACC10017,P017,BankA
A018,ACC10018,P018,BankB
A019,ACC10019,P019,BankB
A020,ACC10020,P020,BankB
