phone_id,phone_number,person_id
PH001,9876500001,P001
PH002,9876500002,P002
PH003,9876500003,P003
PH004,9876500004,P004
PH005,9876500005,P005
PH006,9876500006,P006
PH007,9876500007,P007
PH008,9876500008,P008
PH009,9876500009,P009
PH010,9876500010,P010
PH011,9876500011,P011
PH012,9876500012,P012
PH013,9876500013,P013
PH014,9876500014,P014
PH015,9876500015,P015
PH016,9876500016,P016
PH017,9876500017,P017
PH018,9876500018,P018
PH019,9876500019,P019
PH020,9876500020,P020
PH021,9876500021,P021
PH022,9876500022,P022
PH023,9876500023,P023
PH024,9876500024,P024
PH025,9876500025,P025
PH026,9876500026,P026
PH027,9876500027,P027
PH028,9876500028,P028
PH029,9876500029,P029
PH030,9876500030,P030
PH031,9876500031,P031
PH032,9876500032,P032
PH033,9876500033,P033
PH034,9876500034,P034
PH035,9876500035,P035
PH036,9876500036,P036
PH037,9876500037,P037
PH038,9876500038,P038
PH039,9876500039,P039
PH040,9876500040,P040
PH041,9876500041,
PH042,9876500042,
PH043,9876500043,
PH044,9876500044,
PH045,9876500045,
PH046,9876500046,
PH047,9876500047,
PH048,9876500048,
PH049,9876500049,
PH050,9876500050,
