transaction_id,sender_account,receiver_account,amount,timestamp,location
T001,ACC10001,ACC10002,12000,2026-08-03 08:10,Noida
T002,ACC10003,ACC10002,8000,2026-08-03 09:10,Delhi
T003,ACC10004,ACC10002,15000,2026-08-03 10:10,Ghaziabad
T004,ACC10005,ACC10002,9000,2026-08-03 11:10,Noida
T005,ACC10006,ACC10002,11000,2026-08-03 12:10,Delhi
T006,ACC10016,ACC10007,18000,2026-08-11 19:37,Delhi
T007,ACC10020,ACC10009,1500,2026-08-19 14:31,Noida
T008,ACC10008,ACC10014,40000,2026-08-20 16:12,Ghaziabad
T009,ACC10016,ACC10020,40000,2026-08-03 11:10,Delhi
T010,ACC10008,ACC10013,7000,2026-08-13 06:39,Ghaziabad
T011,ACC10012,ACC10016,18000,2026-08-17 02:47,Delhi
T012,ACC10012,ACC10015,10000,2026-08-12 16:34,Noida
T013,ACC10004,ACC10007,18000,2026-08-07 02:17,Ghaziabad
T014,ACC10006,ACC10007,7000,2026-08-18 17:26,Ghaziabad
T015,ACC10019,ACC10017,10000,2026-08-06 14:37,Delhi
T016,ACC10008,ACC10012,5000,2026-08-12 08:28,Ghaziabad
T017,ACC10018,ACC10005,10000,2026-08-04 09:51,Ghaziabad
T018,ACC10010,ACC10005,40000,2026-08-06 08:25,Ghaziabad
T019,ACC10010,ACC10016,40000,2026-08-17 19:37,Noida
T020,ACC10002,ACC10009,40000,2026-08-06 10:13,Delhi
T021,ACC10016,ACC10003,1500,2026-08-07 13:05,Ghaziabad
T022,ACC10010,ACC10003,7000,2026-08-07 03:02,Delhi
T023,ACC10020,ACC10008,25000,2026-08-17 23:06,Delhi
T024,ACC10019,ACC10014,10000,2026-08-22 05:11,Noida
T025,ACC10020,ACC10004,7000,2026-08-09 17:01,Ghaziabad
T026,ACC10003,ACC10006,7000,2026-08-09 02:50,Noida
T027,ACC10006,ACC10001,25000,2026-08-18 04:16,Delhi
T028,ACC10010,ACC10002,7000,2026-08-12 17:39,Ghaziabad
T029,ACC10015,ACC10003,7000,2026-08-12 05:20,Ghaziabad
T030,ACC10007,ACC10014,2500,2026-08-20 15:40,Ghaziabad
T031,ACC10005,ACC10009,5000,2026-08-05 10:02,Noida
T032,ACC10010,ACC10019,10000,2026-08-17 12:14,Delhi
T033,ACC10010,ACC10013,10000,2026-08-20 02:25,Delhi
T034,ACC10015,ACC10003,1500,2026-08-16 19:00,Ghaziabad
T035,ACC10009,ACC10001,2500,2026-08-11 07:00,Ghaziabad
T036,ACC10019,ACC10001,10000,2026-08-21 09:22,Noida
T037,ACC10016,ACC10017,40000,2026-08-11 14:11,Ghaziabad
T038,ACC10014,ACC10016,2500,2026-08-18 19:52,Delhi
T039,ACC10011,ACC10020,2500,2026-08-08 19:15,Delhi
T040,ACC10016,ACC10010,25000,2026-08-20 09:15,Delhi
